Charge,Total Days,Average Time to Dispo,Median Time to Dispo
Driving Under Restraint/Revoked License,4238470,641.8035,542.5
DUI/DWAI,3224225,250.4252,152
Driving without Insurance,2293057,128.0251,49
Assault - 3,1800840,237.2961,154
Possession of a Controlled Substance,1597207,236.5181,129
Violation of Order of Protection/Restraining Order,1193560,203.1591,112
Theft,1067703,367.9197,198
Assault - 2,1031777,272.4523,197
Caseless Driving,955410,114.4889,55
Motor Vehicle Theft/Chop Shop,886512,259.6696,172
Harassment,697228,194.0518,119
Other Vehicle/Traffic Offense,674278,90.5314,42
Menacing,582322,236.0446,168
ID Theft,581947,350.5705,210
Burglary - 2,561722,269.7992,184
Driver's License Violation,553560,618.5028,381
Criminal Mischief,532923,278.4342,157
Possession with Intent to Distribute a Controlled Substance,498763,327.4872,219
Trespass,438564,295.5283,151
Child Abuse,364518,292.7855,175
Other Offense,240172,214.248,60
Obstructing an Officer/Firefighter/Gov Official,233393,213.5343,113
Eluding,233333,275.4817,170
Sexual Assault-Child,212874,529.5373,428
Sex Offender Registration Violation,195772,358.5568,195
Drug Offense - Special Offender,184871,325.4771,255
Fraud,169391,364.2817,159
False Report/Emergency,163364,289.1398,121
Assault - 1,161224,385.7033,287.5
Forgery,156512,404.4238,231
Homicide - Murder 1 Attempt/Cons/Sol,150050,420.3081,330
Escape/Aiding Escape,142593,204.288,129
Prohibited Use of a Weapon,139182,190.3995,131
Introduction/Possession of Contraband in a Detention Facility,136115,227.2371,126
Distribution of a Controlled Substance,133993,340.0838,243
Sexual Assault,132886,515.062,372
Robbery - Aggravated,131114,291.3644,219
Possession of a Weapon by Convicted Felon,128268,308.3365,207.5
Resisting Arrest,125619,242.9768,125
Homicide - Murder 1,125411,639.852,520
Bribery,101214,535.5238,286
Reckless Driving,99768,110.485,58
Robbery,94589,263.4791,195
Burglary - 1,93461,320.0719,227
Stalking,88737,277.3031,217.5
Hunting/Wildlife Violation,87302,232.8053,42
Sexual Exploitation of a Child,79935,375.2817,292
Sexual Contact,75928,391.3814,280
Leaving the Scene of an Accident,74644,165.1416,76
Cruelty to Animals/Dangerous Animals,74487,209.2331,114.5
Reckless Endangerment,64950,204.2453,144.5
Indecent Exposure,64338,353.5055,249.5
Kidnapping 2,63839,301.1274,240.5
Arson,61227,355.9709,206.5
Possession of a Dangerous Weapon,57950,251.9565,137
Assault - Vehicular,56144,289.4021,244
Possession with Intent to Distribute Marijuana,54591,515.0094,350
Property Offense Other,50859,175.9827,97
Possession of Burglary Tools,49580,381.3846,265
Drug Offense Other,48246,362.7519,139
Carrying a Concealed Weapon,44886,187.8075,130
Violation of Bail Bond,44052,734.2,540.5
Racketeering,40958,518.4557,427
Alcohol Offense,40626,108.6257,41
Witness or Victim Bribing/Tampering,38785,289.4403,191.5
Domestic Violence,38674,274.2837,160
False Imprisonment,34932,244.2797,105
Disorderly Conduct,32661,453.625,228.5
Contributing to the Delinquency of a Minor,31103,275.2478,129
Gaming/Gambling,30339,263.8174,123
Weapon Offense Other,28141,195.4236,151.5
Homicide - Vehicular,28036,412.2941,349.5
Homicide - Murder 2 Attempt/Cons/Sol,24941,415.6833,281.5
Burglary - 3,23864,426.1429,225
Accessory to a Crime,23368,432.7407,289.5
Possession of a Handgun by a Juvenile,19823,180.2091,139.5
Distribution of Marijuana,18660,397.0213,225
Tampering with Evidence,15888,264.8,161.5
Prostitution - Child,15653,489.1563,337
Possession of Marijuana,14930,173.6047,121.5
Possession of a Weapon by Juvenile Offender,14924,292.6275,199
Bias Motivated Crime,12853,321.325,167
Ordinance - County,12827,106.8917,62
Possession of a Weapon on School Grounds,12476,168.5946,135
Internet Luring of a Child,12352,308.8,194
Posting Private Image,11266,220.902,133
Homicide - Murder 2,10656,409.8462,412.5
Manufacture of Marijuana,10497,954.2727,1072
Illegal Discharge of a Firearm,10408,231.2889,140
Neglect,10263,277.3784,159
Invasion of Privacy,9273,331.1786,251.5
Endangering Public Transportation,8577,612.6429,222
Incest,7861,357.3182,247.5
Kidnapping 1,7174,326.0909,205
Negligent Death/Injury,7089,506.3571,314
Homicide - Manslaughter,7049,391.6111,281.5
Criminal Exploitation,6567,469.0714,376.5
Human Trafficking,6036,335.3333,294
Enticement of a Child,5793,643.6667,792
Extortion,5680,218.4615,160
Violation of Custody,5511,324.1765,237
Defacing Property,5155,139.3243,80
Manufacture of a Controlled Substance,4652,290.75,231
Prostitution - Soliciting,4588,1529.3333,1721
Riot,4495,264.4118,185
Disarming a Peace Officer,4412,232.2105,131
Person Offense Other,3679,334.4545,286
Prostitution - Pandering/Pimping,3090,237.6923,191
Homicide - Murder 2 Felony Murder,3029,302.9,233
Homicide - Murder 1 Felony Murder,2731,546.2,677
Retaliation against Judge/Prosecutor,2660,266,160
Straw Purchase of Firearm,2644,661,575.5
Cybercrime,2420,403.3333,135
Sexual Contact-Child,2089,348.1667,347.5
Obscenity,1850,616.6667,575
Prostitution - Patronizing,1779,1779,1779
Tax Evasion,1487,495.6667,508
Perjury,1074,358,370
Homicide - Negligent,971,323.6667,351