Factor,Percent Change in Time to Disposition,Days Change in Time to Disposition,
91-180 days,-67.37202054,,0
181-365 days,-71.06157821,,0
1+ year,-61.13204291,,0
,,,
Male,,,
Black,-22.11992169,,0
Hispanic,,,
Age 18–25,-21.33721389,11.25582798,0
Age 26–35,-9.062706553,7.999578086,0
Prior Felony,-17.38674118,-30.35716161,0
Prior Misdemeanor,-30.30210015,-25.45972307,0
,,,
Weapon Case,,,
Property Case,,,
Drug Case,-12.71573675,-16.61145435,0
DUI Case,-53.6523687,33.93317707,0
Other Case,,,
Charge Severity,-5.540593063,16.20166645,0
Number of Charges,-16.22202155,,
,,,
Failure to Appear,,198.2668086,
Weeks Between Events,-12.71573675,6.706168317,0
Continued/Waived/Vacated Events,-9.062706553,30.10500566,0
Prosecutor Change,,98.77749241,
Defense Attorney Change,-42.13167413,45.67362386,0
Judge Change,-6.293253662,60.0575588,0
,,,
Average Felony Caseload,,,
Average Continuance Rate,,,
Average FTA Rate,,,
Average Time Between Events,-10.86338561,,0
Average Prosecutor Change Rate,,,
Average Def. Attny. Change Rate,,,
Average Judge Change Rate,,,
Average Open Cases,-0.199800133,,0