County,Change in Average Days Between Hearings,Change in Average Number of Hearings per Case,Change in Median Days to Disposition,Cases 2023
Adams,7.289999999999999,10.23,57.5,394
Ashland,6.899999999999999,18.47,68.0,414
Barron,5.15,11.73,62.0,754
Bayfield,6.18,20.830000000000005,3.0,154
Brown,5.98,21.339999999999996,100.0,4368
Buffalo,11.669999999999998,13.44,75.0,366
Burnett,5.289999999999999,14.180000000000001,-47.5,533
Calumet,2.8200000000000003,15.56,72.0,664
Chippewa,12.36,12.290000000000001,125.5,1311
Clark,11.66,12.200000000000001,132.0,452
Columbia,11.02,13.099999999999998,102.0,1645
Crawford,4.800000000000001,7.969999999999999,86.5,273
Dane,10.030000000000001,14.829999999999998,102.0,7949
Dodge,9.11,12.090000000000002,22.5,1211
Door,6.0699999999999985,21.97,111.0,429
Douglas,13.73,6.529999999999999,5.0,1077
Dunn,7.259999999999998,14.489999999999998,102.0,1458
Eau Claire,11.66,10.899999999999999,89.0,3166
Florence,5.080000000000002,8.9,74.0,95
Fond du Lac,9.49,15.450000000000001,166.0,2332
Forest,19.03,11.3,227.0,521
Grant,6.6899999999999995,4.720000000000001,15.0,677
Green,7.84,15.079999999999998,16.5,586
Green Lake,5.619999999999999,17.020000000000003,94.5,603
Iowa,12.02,11.120000000000001,24.0,616
Iron,7.529999999999999,11.68,126.5,189
Jackson,0.6099999999999994,14.12,21.5,427
Jefferson,6.27,19.18,57.0,1900
Juneau,9.119999999999997,11.649999999999999,59.0,874
Kenosha,12.990000000000002,11.92,97.0,4413
Kewaunee,8.11,8.389999999999999,49.0,324
La Crosse,8.95,19.59,123.5,2580
Lafayette,12.44,10.25,75.5,271
Langlade,15.780000000000001,17.35,293.0,331
Lincoln,9.730000000000002,16.82,127.0,792
Manitowoc,9.850000000000001,18.4,151.5,2061
Marathon,7.32,23.379999999999995,100.0,3240
Marinette,6.800000000000001,10.249999999999998,77.0,658
Marquette,5.999999999999998,9.83,-3.5,414
Milwaukee,8.09,20.94,126.0,9999
Monroe,5.619999999999999,22.49,176.0,1547
Oconto,6.800000000000001,13.930000000000001,60.0,506
Oneida,6.800000000000001,11.860000000000001,45.0,791
Outagamie,6.610000000000001,16.560000000000002,87.0,3471
Ozaukee,10.03,11.28,69.0,1268
Pepin,15.920000000000002,6.66,64.5,101
Pierce,10.680000000000001,10.57,-10.0,696
Polk,12.66,14.680000000000001,59.5,886
Portage,4.34,21.099999999999994,84.5,1328
Price,9.93,16.380000000000003,111.5,294
Racine,11.100000000000001,17.61,195.0,3884
Richland,9.93,11.32,29.0,473
Rock,8.36,17.82,74.0,3349
Rusk,4.779999999999998,20.410000000000004,136.0,462
St Croix,7.799999999999999,17.07,62.0,2043
Sauk,10.600000000000001,9.87,73.0,1782
Sawyer,7.609999999999999,20.58,236.0,720
Shawano,13.41,23.43,321.5,916
Sheboygan,6.24,22.119999999999997,143.0,1778
Taylor,9.33,18.07,20.0,266
Trempealeau,7.58,10.819999999999999,95.5,489
Vernon,10.140000000000002,10.76,166.0,277
Vilas,14.549999999999999,14.410000000000002,214.0,626
Walworth,8.02,13.819999999999999,82.5,2012
Washburn,15.75,10.969999999999999,196.5,293
Washington,12.34,6.040000000000001,60.0,1810
Waukesha,9.45,11.84,28.0,5598
Waupaca,7.880000000000001,9.389999999999999,91.5,1027
Waushara,7.510000000000002,9.120000000000001,74.5,607
Winnebago,6.8199999999999985,11.17,49.0,2882
Wood,10.81,6.9399999999999995,21.0,1812